Timestamp,1.Gender,2.Age,3.Occupation:,4.Educational Level:,5.Ethnicity,6.How frequently do you use money remittance services?,7.How many money remittance service(s) do you currently use?,8.Which money remittance service(s) do you  use,9.How did you become aware of the money remittance service(s) you use?,10.How often are you exposed to these advertisements?,11.How would you rate the effectiveness of these advertisements you are exposed to,12.Do you think the content of the advertisements align with your expectations ,13.How satisfied are you with the money remittance service you currently use?,14.To what extent do you feel loyal to the money remittance service you use?,"Additional Comments
Is there anything specific about the advertising of the money remittance service that has positively or negatively influenced your perceptions or loyalty?"
1/11/2024 15:30:33,Female,45-54,Self-employed,High School,Black or African American,Weekly,1,TapTap Send,Word of mouth,Once in a while,5,Strongly agree,4,4,
1/11/2024 18:53:30,Male,25-34,Employed,College,Black or African American,Occasionally,1,World Remit,"Social media, Online adverstisement",Daily,4,Strongly agree,4,4,
1/11/2024 18:56:49,Female,25-34,Employed,Master's Degree,Black or African American,Weekly,4,"RIA, World Remit, TapTap Send","Social media, Word of mouth, Online adverstisement",Daily,4,Strongly agree,4,3,
1/11/2024 19:02:56,Female,25-34,Employed,Bachelor's Degree,Black or African American,Weekly,2,"World Remit, TapTap Send","Social media, Online adverstisement",Daily,5,Strongly agree,4,4,
1/11/2024 19:04:34,Male,35-44,Employed,Master's Degree,Black or African American,Weekly,4,"RIA, World Remit, TapTap Send","Social media, Word of mouth, Online adverstisement",Daily,4,Strongly agree,4,2,
1/11/2024 19:06:02,Male,45-54,Employed,Bachelor's Degree,Black or African American,Weekly,3,"RIA, Small World, World Remit","Social media, Word of mouth, Online adverstisement",Weekly,4,Agree,4,3,
1/11/2024 19:09:04,Male,45-54,Employed,Bachelor's Degree,Black or African American,Monthly,2,"RIA, TapTap Send","Social media, Online adverstisement",Weekly,4,Strongly agree,4,4,
1/11/2024 19:10:24,Male,55-65,Employed,College,Black or African American,Weekly,1,TapTap Send,Word of mouth,Weekly,5,Strongly agree,5,5,
1/11/2024 19:18:46,Female,25-34,Employed,Master's Degree,Black or African American,Occasionally,1,World Remit,"Word of mouth, Online adverstisement",Weekly,3,Neutral,3,3,
1/11/2024 19:28:32,Male,45-54,Self-employed,Bachelor's Degree,Asian,Monthly,1,Western Union,"TV commercials, Word of mouth, SMS",Weekly,4,Agree,4,3,
1/11/2024 19:42:59,Male,45-54,Self-employed,High School,Asian,Monthly,1,Western Union,"TV commercials, Word of mouth",Weekly,5,Strongly agree,4,5,
1/11/2024 20:15:47,Male,55-65,Employed,High School,Black or African American,Monthly,1,TapTap Send,"TV commercials, Word of mouth",Once in a while,4,Strongly agree,4,4,
1/11/2024 20:23:03,Female,65 or older,Retired,Bachelor's Degree,Black or African American,Monthly,1,Western Union,"TV commercials, Word of mouth",Weekly,4,Agree,5,4,
1/11/2024 20:24:17,Female,55-65,Employed,College,Black or African American,Weekly,1,World Remit,Word of mouth,Once in a while,4,Agree,4,4,
1/11/2024 21:02:08,Female,25-34,Employed,College,Black or African American,Monthly,2,Other (please specify),"Social media, Online adverstisement",Once in a while,5,Agree,5,5,
1/11/2024 22:11:01,Female,25-34,Employed,Master's Degree,Hispanic/Latino,Monthly,3,"Western Union, MoneyGram, RIA","Social media, Online adverstisement",Daily,4,Agree,3,,
1/11/2024 23:50:06,Female,25-34,Employed,Bachelor's Degree,Black or African American,Rarely,None,Other (please specify),Online adverstisement,Once in a while,1,Neutral,3,,
1/12/2024 10:14:24,Male,45-54,Employed,College,Hispanic/Latino,Weekly,1,Western Union,"TV commercials, Word of mouth",Weekly,4,Strongly agree,5,,
1/12/2024 10:14:30,Male,35-44,Self-employed,Bachelor's Degree,Black or African American,Monthly,1,World Remit,"Social media, Online adverstisement",Once in a while,3,Agree,3,,
1/12/2024 10:37:34,Female,35-44,Employed,Master's Degree,Caucasian/White,Monthly,1,Western Union,Online adverstisement,Once in a while,5,Neutral,5,,
1/12/2024 10:50:25,Female,45-54,Employed,Bachelor's Degree,Asian,Rarely,1,Western Union,Word of mouth,Weekly,1,Agree,3,,F
1/12/2024 10:50:37,Male,25-34,Employed,Bachelor's Degree,Caucasian/White,Rarely,1,Other (please specify),,Daily,3,Neutral,3,,
1/12/2024 12:33:06,Female,25-34,Employed,Master's Degree,Asian,Rarely,1,Remitly,Social media,Once in a while,1,Strongly disagree,5,,
1/12/2024 12:54:54,Female,35-44,Unemployed,Master's Degree,Asian,Rarely,I used only once ,Other (please specify),Online Search ,Once in a while,1,Neutral,3,,
1/12/2024 13:50:32,Female,25-34,Employed,Master's Degree,Caucasian/White,Monthly,1,Other (please specify),Word of mouth,Once in a while,2,Neutral,4,,
1/12/2024 14:47:52,Male,45-54,Employed,College,Hispanic/Latino,Monthly,1,Western Union,"TV commercials, Word of mouth",Once in a while,5,Strongly disagree,5,,
1/12/2024 17:00:55,Female,25-34,Employed,Master's Degree,Caucasian/White,Rarely,0,,,Once in a while,,,,,
1/12/2024 20:03:54,Female,35-44,Employed,Master's Degree,Other (please specify),Rarely,1,Other (please specify),Word of mouth,Daily,1,Strongly disagree,3,,
1/12/2024 23:24:36,Male,45-54,Employed,College,Hispanic/Latino,Monthly,1,Western Union,Word of mouth,Once in a while,5,Agree,5,,
1/12/2024 23:28:57,Female,45-54,Employed,College,Hispanic/Latino,Weekly,2,"Western Union, MoneyGram",Word of mouth,Once in a while,5,Strongly agree,5,,
1/13/2024 7:46:46,Female,25-34,Employed,Master's Degree,Black or African American,Monthly,1,Other (please specify),Online adverstisement,Daily,3,Agree,4,,More advertisements increase my trust in the service.
1/13/2024 11:26:06,Female,35-44,Employed,Master's Degree,Asian,Monthly,2,Other (please specify),friend's recommendation,Once in a while,2,Neutral,5,,"I am currently using Wise. I don't see advertisement of this company but I am happy with the service because it 's fast, lower cost, better exchange rate.  "
1/13/2024 11:40:06,Male,45-54,Employed,College,Hispanic/Latino,Monthly,1,Western Union,"Word of mouth, SMS",Once in a while,4,Agree,5,,
1/13/2024 11:41:30,Male,55-65,Employed,College,Black or African American,Monthly,1,Western Union,"TV commercials, Word of mouth, SMS",Once in a while,4,Strongly agree,5,,
1/13/2024 11:42:58,Male,45-54,Self-employed,College,Asian,Monthly,1,Western Union,"Word of mouth, SMS",Once in a while,4,Strongly agree,5,,
1/13/2024 11:44:37,Male,35-44,Employed,College,Hispanic/Latino,Monthly,1,Western Union,"TV commercials, Radio advertisements, Word of mouth",Once in a while,4,Strongly agree,5,,
1/13/2024 11:50:17,Female,35-44,Employed,Bachelor's Degree,Black or African American,Monthly,2,"World Remit, TapTap Send","Social media, Online adverstisement",Daily,5,Strongly agree,5,,
1/13/2024 11:51:47,Male,35-44,Employed,Master's Degree,Black or African American,Monthly,2,"Small World, World Remit","Social media, Online adverstisement",Daily,5,Strongly agree,5,,
1/13/2024 11:54:30,Male,35-44,Employed,Bachelor's Degree,Black or African American,Monthly,2,"Small World, World Remit","Social media, Online adverstisement",Daily,5,Strongly agree,5,,
1/13/2024 11:57:11,Male,45-54,Employed,Doctorate,Black or African American,Monthly,2,"Remitly, TapTap Send","Social media, Online adverstisement",Weekly,5,Strongly disagree,5,,
1/13/2024 12:07:33,Male,35-44,Self-employed,College,Asian,Monthly,1,Western Union,"Word of mouth, SMS",Once in a while,5,Strongly agree,4,,
1/13/2024 12:10:24,Female,35-44,Employed,Master's Degree,Black or African American,Monthly,3,"Western Union, World Remit, TapTap Send","Social media, Online adverstisement",Daily,5,Strongly agree,5,,
1/13/2024 12:14:58,Male,35-44,Employed,Doctorate,Black or African American,Monthly,2,"Western Union, RIA","Social media, Online adverstisement",Weekly,5,Strongly agree,5,,
1/13/2024 12:42:33,Male,35-44,Employed,Bachelor's Degree,Hispanic/Latino,Monthly,2,"Western Union, MoneyGram","Social media, Online adverstisement",Daily,5,Strongly agree,5,,
1/13/2024 12:43:47,Male,65 or older,Retired,Master's Degree,Black or African American,Occasionally,1,Western Union,"TV commercials, Word of mouth",Once in a while,5,Strongly agree,5,,
